Image Name,Top Left (x),Top Left (y),Bottom Right (x),Bottom Right (y)
akshay_train_0_1,107,88,157,147
akshay_train_0_2,92,49,161,138
akshay_train_0_3,71,43,197,211
akshay_train_30l_1,101,84,154,150
akshay_train_30l_2,90,57,160,144
akshay_train_30l_3,74,29,184,160
akshay_train_30r_1,104,95,157,156
akshay_train_30r_2,93,77,166,162
akshay_train_30r_3,67,38,175,171
akshay_train_45l_1,100,113,154,174
akshay_train_45l_2,90,67,162,149
akshay_train_45l_3,71,33,184,161
akshay_train_45r_1,95,106,151,166
akshay_train_45r_2,91,99,170,186
akshay_train_45r_3,60,54,176,180
angela_train_0_1,118,106,151,156
angela_train_0_2,105,76,154,158
angela_train_0_3,83,43,168,182
angela_train_30l_1,118,105,152,159
angela_train_30l_2,108,96,155,161
angela_train_30l_3,102,63,171,174
angela_train_30r_1,119,101,153,152
angela_train_30r_2,101,94,151,164
angela_train_30r_3,87,74,166,185
angela_train_45l_1,121,114,151,158
angela_train_45l_2,107,91,155,156
angela_train_45l_3,89,51,166,165
angela_train_45r_1,112,112,150,158
angela_train_45r_2,96,101,147,168
angela_train_45r_3,76,57,157,169
mark_train_0_1,104,92,142,152
mark_train_0_2,100,75,153,164
mark_train_0_3,81,71,165,213
mark_train_30l_1,106,98,148,157
mark_train_30l_2,101,94,157,173
mark_train_30l_3,76,69,171,196
mark_train_30r_1,104,91,154,150
mark_train_30r_2,90,78,159,166
mark_train_30r_3,74,66,175,200
mark_train_45l_1,107,85,155,148
mark_train_45l_2,88,83,156,164
mark_train_45l_3,76,55,175,184
mark_train_45r_1,102,82,157,146
mark_train_45r_2,86,89,162,175
mark_train_45r_3,64,62,182,188
nabilah_train_0_1,105,107,144,157
nabilah_train_0_2,99,102,153,179
nabilah_train_0_3,69,78,167,216
nabilah_train_30l_1,115,93,150,145
nabilah_train_30l_2,109,93,152,157
nabilah_train_30l_3,93,88,176,209
nabilah_train_30r_1,107,101,145,150
nabilah_train_30r_2,104,104,153,171
nabilah_train_30r_3,83,79,158,188
nabilah_train_45l_1,108,97,144,149
nabilah_train_45l_2,109,94,153,166
nabilah_train_45l_3,98,73,170,189
nabilah_train_45r_1,98,104,134,156
nabilah_train_45r_2,94,95,140,163
nabilah_train_45r_3,68,77,145,187
isaac_train_0_1,114,101,152,150
isaac_train_0_2,99,92,155,156
isaac_train_0_3,88,89,161,188
isaac_train_30l_1,103,94,154,150
isaac_train_30l_2,89,90,157,161
isaac_train_30l_3,78,63,181,172
isaac_train_30r_1,102,112,154,158
isaac_train_30r_2,89,94,164,165
isaac_train_30r_3,58,83,168,191
isaac_train_45l_1,101,108,153,164
isaac_train_45l_2,91,79,168,164
isaac_train_45l_3,76,85,186,191
isaac_train_45r_1,98,110,147,156
isaac_train_45r_2,87,95,157,161
isaac_train_45r_3,48,73,158,177
akshay_test_1,104,47,167,128
akshay_test_2,86,61,151,146
akshay_test_3,92,75,149,138
akshay_test_4,85,65,143,117
akshay_test_5,95,67,152,142
akshay_test_6,103,55,165,140
akshay_test_7,100,71,147,120
akshay_test_8,99,67,157,142
akshay_test_9,98,62,154,128
akshay_test_10,98,72,151,146
akshay_test_11,70,43,138,123
akshay_test_12,95,78,154,157
akshay_test_13,96,63,148,128
akshay_test_14,114,61,166,120
angela_test_1,85,60,153,141
angela_test_2,95,78,157,162
angela_test_3,84,81,155,160
angela_test_4,88,58,154,141
angela_test_5,98,86,156,150
angela_test_6,93,53,157,136
angela_test_7,93,68,155,152
angela_test_8,91,81,154,150
angela_test_9,93,69,157,150
angela_test_10,88,66,148,152
angela_test_11,84,70,154,153
angela_test_12,93,61,150,144
angela_test_13,85,78,147,159
angela_test_14,100,87,162,153
mark_test_1,97,73,150,153
mark_test_2,100,61,156,148
mark_test_3,90,67,151,140
mark_test_4,90,58,149,134
mark_test_5,89,55,147,150
mark_test_6,96,64,160,143
mark_test_7,103,67,155,141
mark_test_8,100,51,161,147
mark_test_9,96,74,155,144
mark_test_10,98,52,155,130
mark_test_11,101,63,156,152
mark_test_12,100,49,157,142
mark_test_13,102,53,157,140
mark_test_14,64,48,141,144
nabilah_test_1,113,98,159,147
nabilah_test_2,108,92,152,142
nabilah_test_3,105,80,149,134
nabilah_test_4,105,78,149,134
nabilah_test_5,106,88,154,130
nabilah_test_6,113,89,159,143
nabilah_test_7,103,93,147,150
nabilah_test_8,104,87,144,143
nabilah_test_9,114,90,156,132
nabilah_test_10,116,93,157,146
nabilah_test_11,108,96,154,147
nabilah_test_12,97,99,139,149
nabilah_test_13,113,95,157,137
nabilah_test_14,119,90,169,146
isaac_test_1,100,79,164,147
isaac_test_2,94,61,141,152
isaac_test_3,104,54,160,135
isaac_test_4,88,53,147,131
isaac_test_5,102,75,151,142
isaac_test_6,100,79,153,153
isaac_test_7,83,79,156,166
isaac_test_8,113,103,163,163
isaac_test_9,104,69,160,134
isaac_test_10,92,52,154,126
isaac_test_11,107,78,153,144
isaac_test_12,99,72,155,155
isaac_test_13,111,73,183,169
isaac_test_14,94,71,158,168
